# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
1.909419220995e-06 2.009753397198e+10 6.003484663375e+04 7.243518647201e+19 4.031844782767e-08
1.922762093845e-06 1.988869923749e+10 5.982618025024e+04 7.118507231137e+19 4.071988394665e-08
1.936198205652e-06 1.968203451822e+10 5.961823914025e+04 6.995653310162e+19 4.112530510935e-08
1.949728207962e-06 1.947751726539e+10 5.941102078290e+04 6.874919649393e+19 4.153475074330e-08
1.963352756874e-06 1.927512516455e+10 5.920452266610e+04 6.756269656562e+19 4.194826066467e-08
1.977072513074e-06 1.907483613310e+10 5.899874228644e+04 6.639667370924e+19 4.236587508206e-08
1.990888141862e-06 1.887662831791e+10 5.879367714927e+04 6.525077452359e+19 4.278763460036e-08
2.004800313188e-06 1.868048009292e+10 5.858932476856e+04 6.412465170660e+19 4.321358022466e-08
2.018809701684e-06 1.848637005681e+10 5.838568266697e+04 6.301796395006e+19 4.364375336413e-08
2.032916986696e-06 1.829427703062e+10 5.818274837572e+04 6.193037583621e+19 4.407819583605e-08
2.047122852317e-06 1.810418005546e+10 5.798051943464e+04 6.086155773606e+19 4.451694986974e-08
2.061427987421e-06 1.791605839023e+10 5.777899339211e+04 5.981118570946e+19 4.496005811068e-08
2.075833085696e-06 1.772989150937e+10 5.757816780504e+04 5.877894140698e+19 4.540756362452e-08
2.090338845676e-06 1.754565910059e+10 5.737804023879e+04 5.776451197335e+19 4.585950990125e-08
2.104945970777e-06 1.736334106265e+10 5.717860826724e+04 5.676758995270e+19 4.631594085937e-08
2.119655169331e-06 1.718291750320e+10 5.697986947266e+04 5.578787319535e+19 4.677690085005e-08
2.134467154619e-06 1.700436873660e+10 5.678182144573e+04 5.482506476623e+19 4.724243466141e-08
2.149382644907e-06 1.682767528175e+10 5.658446178553e+04 5.387887285490e+19 4.771258752278e-08
2.164402363480e-06 1.665281785999e+10 5.638778809945e+04 5.294901068708e+19 4.818740510905e-08
2.179527038677e-06 1.647977739297e+10 5.619179800322e+04 5.203519643776e+19 4.866693354504e-08
2.194757403927e-06 1.630853500060e+10 5.599648912085e+04 5.113715314579e+19 4.915121940990e-08
2.210094197783e-06 1.613907199896e+10 5.580185908460e+04 5.025460862990e+19 4.964030974156e-08
2.225538163960e-06 1.597136989831e+10 5.560790553498e+04 4.938729540624e+19 5.013425204126e-08
2.241090051371e-06 1.580541040098e+10 5.541462612068e+04 4.853495060729e+19 5.063309427805e-08
2.256750614160e-06 1.564117539949e+10 5.522201849857e+04 4.769731590222e+19 5.113688489342e-08
