branch,tau_relax,time_myr,rho_inner_mean_msun_pc3,sigma_inner_1d_kms,r_inner_pc,inner_shell_mass_msun,rho_c_msun_pc3,sigma_c_kms,r0_pc,M_bh_msun,L_inner_msun_kms2_per_myr,captured_mass_msun,E_boundary_msun_kms2,E_conduction_budget_error_msun_kms2,E_total_code,n_conduction,lmfp_scaleheight_factor_inner,lmfp_scaleheight_factor_min
sink,0.016000028161511495,2.96342729052848,14.053278995185964,33.94521192441587,15.152528636322447,204797.0322016099,14.053278995185964,33.94521192441587,15.152528636322447,3999999.999999999,-133675.11181299388,41.668176233302574,-396136.47441106837,-2.6185461134926e-09,-0.22376688431650885,218737,0.1331461900189933,0.08869870960084911
sink,0.01800000218530834,3.333850238703324,14.838546036554131,33.83272579253877,14.880375102613847,204797.0322016099,14.838546036554131,33.83272579253877,14.880375102613847,3999999.999999999,-133675.11181299388,46.876621446296596,-445652.803426443,-1.7121743512149007e-09,-0.22376689970274288,255706,0.13314618385745078,0.08754199978042167
sink,0.020000024477661534,3.7042821268847557,15.60959415812874,33.73896632183805,14.63121699945028,204797.0322016099,15.60959415812874,33.73896632183805,14.63121699945028,3999999.999999999,-133675.11181299388,52.0851923629889,-495170.32749818795,-7.930243845775247e-10,-0.22376691547838665,294548,0.13314617876842633,0.08648696655823299
sink,0.022000025290272007,4.074710036719704,16.371422639057506,33.65985615121715,14.400652698724448,204797.0322016099,16.371422639057506,33.65985615121715,14.400652698724448,3999999.999999999,-133675.11181299388,57.2937073409231,-544687.319764018,2.04199041350964e-10,-0.22376693155604108,335240,0.1331461744710286,0.08551265287305422
sink,0.024000023791704076,4.445137518492333,17.128204274463503,33.59244930529753,14.185360180882311,204797.0322016099,17.128204274463503,33.59244930529753,14.185360180882311,3999999.999999999,-133675.11181299388,62.50221629995607,-594204.2548085778,1.1624501939308897e-09,-0.22376694788056084,377771,0.13314617077396515,0.0846034492772315
sink,0.02600000280962087,4.81556139164751,17.883480974531636,33.53456638911214,13.98278314424081,204797.0322016099,17.883480974531636,33.53456638911214,13.98278314424081,3999999.999999999,-133675.11181299388,67.71067451891909,-643720.7074708068,1.6150578339915016e-09,-0.22376696441744404,422138,0.13314616754277858,0.08374746793935665
sink,0.02800000627598265,5.185989792994032,18.640371399991064,33.484557817719484,13.790905546553379,204797.0322016099,18.640371399991064,33.484557817719484,13.790905546553379,3999999.999999999,-133675.11181299388,72.91919640790219,-693237.7654395361,1.364209223969619e-09,-0.2237669811471134,468347,0.133146164680119,0.08293541473852696
sink,0.030000038312367232,5.556423485905321,19.40165636945647,33.441154455964494,13.608116910417442,204797.0322016099,19.40165636945647,33.441154455964494,13.608116910417442,3999999.999999999,-133675.11181299388,78.1277927005509,-742755.5307587422,1.1753750340342332e-09,-0.22376699805993255,516410,0.13314616211386868,0.08215991332101406
sink,0.03200001445828388,5.926846827126209,20.16985181894328,33.40336531395329,13.433114886902441,204797.0322016099,20.16985181894328,33.40336531395329,13.433114886902441,3999999.999999999,-133675.11181299388,83.33624344008909,-792271.912314585,9.163933639040184e-10,-0.22376701515307487,566343,0.13314615978953062,0.08141502628100497
sink,0.03400002000456314,6.297275613702317,20.947378559511044,33.370401965756706,13.264811063239044,204797.0322016099,20.947378559511044,33.370401965756706,13.264811063239044,3999999.999999999,-133675.11181299388,88.54477074571066,-841789.021778911,6.654316988431256e-10,-0.2237670324309468,618172,0.1331461576648594,0.08069581259308568
sink,0.03600003385663486,6.667705938626471,21.736513304930767,33.34163439329443,13.102303828647184,204797.0322016099,21.736513304930767,33.34163439329443,13.102303828647184,3999999.999999999,-133675.11181299388,93.75331968174565,-891306.3368820818,4.2341686630007415e-10,-0.2237670499016557,671926,0.13314615570681784,0.07999818402135996
sink,0.03800002202346119,7.038131506286677,22.53947004436711,33.31655296238839,12.944831172167737,204797.0322016099,22.53947004436711,33.31655296238839,12.944831172167737,3999999.999999999,-133675.11181299388,98.96180172681518,-940823.0160574378,1.2868405863573518e-10,-0.22376706757701062,727639,0.1331461538890912,0.07931868538034947
sink,0.04000000944648912,7.408556936185096,23.358468704811553,33.294741494020606,12.791736338276204,204797.0322016099,23.358468704811553,33.294741494020606,12.791736338276204,3999999.999999999,-133675.11181299388,104.17028183484292,-990339.6768174935,-1.9338642757051397e-10,-0.22376708547263702,785352,0.13314615219032427,0.07865433450954823
