# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
5.860919259503540246e+01 2.662137776051200611e+00 3.127239429873519327e+01 2.047875343787615776e+01 1.671952316961551332e-01
5.953285702391909240e+01 2.655084202580997310e+00 3.127115758997807404e+01 2.074637741930368406e+01 1.722165505861390500e-01
6.047148485639749538e+01 2.647835311853277140e+00 3.126988352822072770e+01 2.101594159425333075e+01 1.773838589343696981e-01
6.142535120609061750e+01 2.640386308235623591e+00 3.126857099462707623e+01 2.128738774431571201e+01 1.827010936334119151e-01
6.239473759443988854e+01 2.632732319234447171e+00 3.126721883798697377e+01 2.156065339017846583e+01 1.881722799750740194e-01
6.337993216931013762e+01 2.624868396870131626e+00 3.126582587382424805e+01 2.183567162570800235e+01 1.938015324940067785e-01
6.438122993414397399e+01 2.616789519269964615e+00 3.126439088348162443e+01 2.211237094858350360e+01 1.995930558444278802e-01
6.539893298606484962e+01 2.608490592497876293e+00 3.126291261318292314e+01 2.239067508690260766e+01 2.055511454921550296e-01
6.643335076635057135e+01 2.599966452631841118e+00 3.126138977307158839e+01 2.267050282285228846e+01 2.116801883687351449e-01
6.748480032097126013e+01 2.591211868104009941e+00 3.125982103622501640e+01 2.295176781260540722e+01 2.179846634368196590e-01
6.855360657435242899e+01 2.582221542319891761e+00 3.125820503764431635e+01 2.323437840350180394e+01 2.244691421378810503e-01
6.964010261466289364e+01 2.572990116571824526e+00 3.125654037321893597e+01 2.351823744790801740e+01 2.311382887501771677e-01
7.074462999326011925e+01 2.563512173264510530e+00 3.125482559866574661e+01 2.380324211466274775e+01 2.379968605690550021e-01
7.186753903794313203e+01 2.553782239465885340e+00 3.125305922844179563e+01 2.408928369796740299e+01 2.450497080614688628e-01
7.300918918063557328e+01 2.543794790805976813e+00 3.125123973463046312e+01 2.437624742401460765e+01 2.523017747679716649e-01
7.416994930136783637e+01 2.533544255737512518e+00 3.124936554580042625e+01 2.466401225599756231e+01 2.597580971271256089e-01
7.535019808795912866e+01 2.523025020178665034e+00 3.124743504583673825e+01 2.495245069739073074e+01 2.674238041080805317e-01
7.655032441377896646e+01 2.512231432556497168e+00 3.124544657274368475e+01 2.524142859439171716e+01 2.753041166712648646e-01
7.777072773314780818e+01 2.501157809270369015e+00 3.124339841741859303e+01 2.553080493749757807e+01 2.834043470416922617e-01
7.901181849673233160e+01 2.489798440595099471e+00 3.124128882239656591e+01 2.582043166314469929e+01 2.917298977757738498e-01
8.027401858678413760e+01 2.478147597043826256e+00 3.123911598056456285e+01 2.611015345553431288e+01 3.002862606122178590e-01
8.155776177459007670e+01 2.466199536210761156e+00 3.123687803384541084e+01 2.639980754962277132e+01 3.090790150913491630e-01
8.286349420020398782e+01 2.453948510114551507e+00 3.123457307185022458e+01 2.668922353553187676e+01 3.181138269532119978e-01
8.419167487642562264e+01 2.441388773065245488e+00 3.123219913049942065e+01 2.697822316530975684e+01 3.273964461876559540e-01
8.554277621871133874e+01 2.428514590071424450e+00 3.122975419061089752e+01 2.726662016283573919e+01 3.369327049142647468e-01
8.691728460126991251e+01 2.415320245813119104e+00 3.122723617645557326e+01 2.755422003733355041e+01 3.467285148651235716e-01
8.831570094271654625e+01 2.401800054198585332e+00 3.122464295427902670e+01 2.784081990191066680e+01 3.567898645938960556e-01
